placement_id,code,plan_model,implementation_model,test_model,review_model,base_pass,mbpp_plus_pass,cloud_api_cost,mean_latency_seconds,p95_latency_seconds,local_calls,cloud_calls,failed_runs,invocations
placement-069,QMQM,qwen-local,gpt-4.1-mini-cloud,qwen-local,gpt-4.1-mini-cloud,0.78,0.6,0.0948128,34.6682417900092,72.29499670898076,138,176,0,314
placement-070,GMQQ,gpt-5.5-cloud,gpt-4.1-mini-cloud,qwen-local,qwen-local,0.98,0.84,0.6944836,27.961999934226043,73.77465558401309,134,117,0,251
placement-071,MMQQ,gpt-4.1-mini-cloud,gpt-4.1-mini-cloud,qwen-local,qwen-local,0.94,0.8,0.0398688,26.80962071921793,72.08736200002022,138,119,0,257
placement-072,QMQQ,qwen-local,gpt-4.1-mini-cloud,qwen-local,qwen-local,0.82,0.58,0.0444096,47.39047112754197,109.26563004194759,240,95,0,335
placement-073,GQQG,gpt-5.5-cloud,qwen-local,qwen-local,gpt-5.5-cloud,0.96,0.84,1.35905,26.325047179219546,78.83710187498946,122,111,0,233
placement-074,MQQG,gpt-4.1-mini-cloud,qwen-local,qwen-local,gpt-5.5-cloud,0.9,0.74,0.9155278,30.992315220838645,82.68814441701397,128,114,0,242
placement-075,QQQG,qwen-local,qwen-local,qwen-local,gpt-5.5-cloud,0.64,0.52,1.45988,50.90904474086245,105.42704824998509,236,93,0,329
placement-076,GQQM,gpt-5.5-cloud,qwen-local,qwen-local,gpt-4.1-mini-cloud,0.96,0.78,0.6655639999999999,29.02809605764225,77.92182062496431,154,127,0,281
placement-077,MQQM,gpt-4.1-mini-cloud,qwen-local,qwen-local,gpt-4.1-mini-cloud,0.86,0.66,0.0667324,30.095162004192826,73.81810475001112,170,135,0,305
placement-078,QQQM,qwen-local,qwen-local,qwen-local,gpt-4.1-mini-cloud,0.64,0.5,0.071414,48.51543216833845,89.61289199994644,274,112,0,386
placement-079,GQQQ,gpt-5.5-cloud,qwen-local,qwen-local,qwen-local,0.84,0.72,0.67061,35.89349289098405,88.54827229201328,234,50,0,284
placement-080,MQQQ,gpt-4.1-mini-cloud,qwen-local,qwen-local,qwen-local,0.8,0.64,0.0258344,33.147326664180724,86.82016383297741,216,50,0,266
placement-081,QQQQ,qwen-local,qwen-local,qwen-local,qwen-local,0.56,0.44,0,55.88959786163643,102.53201720799552,380,0,0,380
